genre,artist,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
hip hop,Eminem,297786,2002,85,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.1,0.1,171.447
"rock, pop",Coldplay,307879,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.255,0.255,130.97
"rock, pop",Coldplay,307879,2002,79,0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.255,0.255,130.97
pop,Britney Spears,198800,2003,81,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.924,0.924,143.04
"hip hop, pop",50 Cent,209106,2005,79,0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.755,0.755,125.173
hip hop,Gorillaz,222640,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.772,0.772,138.559
"hip hop, pop, latin",Nelly Furtado,258893,2006,79,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.787,0.787,132.722
pop,The Fray,262533,2005,79,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.361,0.361,122.035
"hip hop, pop, R&B",Rihanna,275986,2008,81,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.575,0.575,174.028
"hip hop, pop",Flo Rida,231400,2008,80,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.304,0.304,128.008
rock,Kings of Leon,203346,2008,80,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.374,0.374,153.398
"hip hop, pop",Black Eyed Peas,289133,2009,80,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.61,0.61,127.96
rock,Kings of Leon,203346,2008,80,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.374,0.374,153.398
"pop, Dance/Electronic",Kesha,199693,2010,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.714,0.714,120.028
"hip hop, pop, R&B",Jennifer Lopez,284866,2011,79,0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.575,0.575,130.0
"hip hop, pop, latin",Pitbull,252306,2011,81,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.53,0.53,129.024
"rock, pop",Foster The People,239600,2011,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.965,0.965,127.975
hip hop,JAY-Z,219333,2011,82,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.775,0.775,140.022
pop,Bruno Mars,233478,2012,85,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.867,0.867,143.994
"hip hop, pop, Dance/Electronic",Calvin Harris,206413,2012,79,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.919,0.919,127.937
"hip hop, pop, Dance/Electronic",David Guetta,245040,2012,79,0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.301,0.301,126.062
pop,One Direction,199986,2012,82,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.888,0.888,124.99
pop,Bruno Mars,233478,2012,85,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.867,0.867,143.994
"hip hop, pop",Macklemore & Ryan Lewis,258342,2012,81,0.641,0.922,2,-4.457,1,0.0786,0.0291,0.0,0.847,0.847,146.078
"rock, pop",The Neighbourhood,240400,2013,89,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.398,0.398,124.053
pop,Demi Lovato,210840,2013,79,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.502,0.502,173.968
