,id,mensagem,data
0,1009214375669801141,Xamanbulancia Brasil (rank Sapling) entrou na fc. Id: 39647932,2022-08-16
1,1009214375023890442,Syller Voyvod (rank Sapling) entrou na fc. Id: 26320367,2022-08-16
2,1008904837917855864,Nezuko Wolf (rank Sapling) saiu da fc. Id: 44396540,2022-08-16
3,1008216753354047524,Kyo Ogure (rank Sapling) saiu da fc. Id: 44378041,2022-08-14
4,1008189070859567124,Reiel Lecram (rank Sapling) entrou na fc. Id: 40799712,2022-08-14
5,1008100985413050448,Cecidelus Tenebris (rank Sapling) entrou na fc. Id: 21941907,2022-08-13
6,1007806546174034030,Douphine Venille (rank Sapling) entrou na fc. Id: 40908397,2022-08-13
7,1007720983945293834,Zoe Fortis (rank Sapling) entrou na fc. Id: 35857356,2022-08-12
8,1007718468654747648,Say Yarr (rank Sapling) entrou na fc. Id: 16151326,2022-08-12
9,1007718468080107640,Zoe Fortis (rank Sapling) saiu da fc. Id: 35857356,2022-08-12
10,1007512107350249543,Sessho' Maru (rank Sapling) entrou na fc. Id: 43822801,2022-08-12
11,1007335948134133760,Knight Staynight (rank Sapling) saiu da fc. Id: 44436329,2022-08-11
12,1007305748004487238,Moredays Makoto (rank Sapling) entrou na fc. Id: 39109785,2022-08-11
13,1007285617023012944,Say Yarr (rank Senior Tree) saiu da fc. Id: 16151326,2022-08-11
14,1007142170521763990,Kyo Ogure (rank Sapling) entrou na fc. Id: 44378041,2022-08-11
15,1007114485078700062,Tyrlamir Lutel (rank Sapling) entrou na fc. Id: 27050250,2022-08-11
16,1007109452605948044,Aurora Demitra (rank Sapling) entrou na fc. Id: 35209804,2022-08-11
17,1006398050954121246,Knight Staynight (rank Sapling) entrou na fc. Id: 44436329,2022-08-09
18,1006176590885044315,Yanor Necron (rank Sapling) saiu da fc. Id: 44358720,2022-08-08
19,1006085992974913576,Tyfany Quah (rank Sapling) saiu da fc. Id: 31408514,2022-08-08
20,1006073408406179840,Shima Torioi (rank Sapling) entrou na fc. Id: 37247983,2022-08-08
21,1006021201694564364,Luke Zahard (rank Sapling) saiu da fc. Id: 15903848,2022-08-08
22,1005923022076657745,Carelia Lulafel (rank Sapling) entrou na fc. Id: 43598366,2022-08-07
23,1005910438149636226,Nezuko Wolf (rank Sapling) entrou na fc. Id: 44396540,2022-08-07
24,1004909800771039325,Tyfany Quah (rank Sapling) entrou na fc. Id: 31408514,2022-08-05
25,1004899734034599976,Princesa Kaguya (rank Sapling) saiu da fc. Id: 41982534,2022-08-04
26,1004574206576562186,Princesa Kaguya (rank Sapling) entrou na fc. Id: 41982534,2022-08-04
27,1004564145095577610,Yanor Necron (rank Sapling) entrou na fc. Id: 44358720,2022-08-04
28,1004473346831949945,Dafson Yaeger (rank Sapling) entrou na fc. Id: 44325152,2022-08-03
29,1004463281416716338,Joao Hf (rank Sapling) entrou na fc. Id: 41565579,2022-08-03
30,1004231754393067541,Takashota Nosako (rank Sapling) entrou na fc. Id: 44325491,2022-08-03
31,1004121021185531935,Victor Santos (rank Sapling) entrou na fc. Id: 29980898,2022-08-02
32,1004093341044060160,Benn Stat (rank Sapling) saiu da fc. Id: 44327531,2022-08-02
33,1004075726032617523,Yonah Moonfire (rank Sapling) saiu da fc. Id: 43714754,2022-08-02
34,1003912147526500403,Neko Maka (rank Sapling) entrou na fc. Id: 44328456,2022-08-02
35,1003808967815876680,Syki Akai (rank Sapling) saiu da fc. Id: 42377841,2022-08-01
36,1003768702287745215,Benn Stat (rank Sapling) entrou na fc. Id: 44327531,2022-08-01
37,1003509491280654376,Irvison Listof (rank Sapling) entrou na fc. Id: 19649018,2022-08-01
38,1002804845922746368,Pherion Luna (rank Sapling) saiu da fc. Id: 29483546,2022-07-30
39,1002412817137291345,Hanna Wemyss (rank Sapling) saiu da fc. Id: 43864907,2022-07-29
40,1002261821291507843,Magrohn Eternal (rank Sapling) saiu da fc. Id: 42442694,2022-07-28
41,1002085658954846278,Lawruug Drakon (rank Sapling) entrou na fc. Id: 44237289,2022-07-28
42,1002068043238752316,Amasuki Katsuhika (rank Lunar Tree) saiu da fc. Id: 28185495,2022-07-28
43,1001898984522125523,Tory Majora (rank Sapling) saiu da fc. Id: 42677970,2022-07-27
44,1001898983507107880,Talito Vonhunty (rank Sapling) saiu da fc. Id: 39624230,2022-07-27
45,1001898962166493244,Sukito Apolon (rank Sapling) saiu da fc. Id: 40813638,2022-07-27
46,1001898961373765753,Ronny Dorio (rank Sapling) saiu da fc. Id: 42727752,2022-07-27
47,1001898958714580992,Moredays Makoto (rank Sapling) saiu da fc. Id: 39109785,2022-07-27
48,1001898957741506742,Laurinda Linda (rank Sapling) saiu da fc. Id: 43002703,2022-07-27
49,1001898957435322559,Lasswell Grandshelt (rank Sapling) saiu da fc. Id: 35157773,2022-07-27
50,1001898933662003252,Grimlock Caelium (rank Sapling) saiu da fc. Id: 36620504,2022-07-27
51,1001898932953174197,Gabhar Moony (rank Sapling) saiu da fc. Id: 43120584,2022-07-27
52,1001898931875229837,Frolic Angel (rank Sapling) saiu da fc. Id: 14923022,2022-07-27
53,1001898931191554069,Extrema Raen (rank Sapling) saiu da fc. Id: 34352392,2022-07-27
54,1001898930239459328,Espirou Esplending (rank Sapling) saiu da fc. Id: 43048845,2022-07-27
55,1001898906260623370,Elvar Molinari (rank Sapling) saiu da fc. Id: 42914904,2022-07-27
56,1001898905358843995,Dropout Kyoshi (rank Sapling) saiu da fc. Id: 42918827,2022-07-27
57,1001898904163463200,Crescelia Kaede (rank Sapling) saiu da fc. Id: 23769283,2022-07-27
58,1001898903911809074,Cepola Iol (rank Sapling) saiu da fc. Id: 31936014,2022-07-27
59,1001898902984863884,Alexay Sanmarino (rank Sapling) saiu da fc. Id: 40192432,2022-07-27
60,1001898883162574899,Spiral Arrow (rank Senior Tree) saiu da fc. Id: 37383603,2022-07-27
61,1001898882504081548,Hyaza Raenis (rank Senior Tree) saiu da fc. Id: 30363278,2022-07-27
62,1001898881749098657,Deevan Wulric (rank Senior Tree) saiu da fc. Id: 13416177,2022-07-27
63,1001898880813777007,Yu Kaichou (rank Sapling) saiu da fc. Id: 36971639,2022-07-27
64,1001898878041346098,Alexius Victorius (rank Senior Tree) saiu da fc. Id: 27857127,2022-07-27
65,1001695030794264677,Seumadrruga Xx (rank Sapling) entrou na fc. Id: 30868865,2022-07-27
66,1001677416030281728,Nero Hdp (rank Sapling) saiu da fc. Id: 35572139,2022-07-27
67,1001176613741932595,Holoaxay Br (rank Sapling) saiu da fc. Id: 40034251,2022-07-25
68,1001113700847063080,Zerato Champion (rank Sapling) saiu da fc. Id: 28292128,2022-07-25
69,1000907341908152427,Pherion Luna (rank Sapling) entrou na fc. Id: 29483546,2022-07-24
70,1000628430292922469,Nasnye Misaki (rank Sapling) saiu da fc. Id: 24336068,2022-07-24
71,1000613331540918342,Lolito Eyruell (rank Sapling) saiu da fc. Id: 32013681,2022-07-24
72,1000613330429419520,Hirosch Lyrae (rank Sapling) saiu da fc. Id: 43967874,2022-07-24
73,1000593196998475867,Hirosch Lyrae (rank Sapling) entrou na fc. Id: 43967874,2022-07-24
74,1000588164248899668,Nasnye Misaki (rank Sapling) entrou na fc. Id: 24336068,2022-07-24
75,1000452268321153095,Telesforo Venerando (rank Sapling) saiu da fc. Id: 43497194,2022-07-23
76,1000276107519594547,Hyah Hyah (rank Sapling) saiu da fc. Id: 41271537,2022-07-23
77,1000205644621684766,Kamizus Bolota (rank Sapling) entrou na fc. Id: 29801447,2022-07-23
78,1000145244341403729,Daisy Fitzroy (rank Sapling) entrou na fc. Id: 43879010,2022-07-22
79,1000110012162654318,Aurabella Fiora (rank Sapling) entrou na fc. Id: 44046940,2022-07-22
80,999677159759167628,Hanekawa Hitagi (rank Sapling) saiu da fc. Id: 39356028,2022-07-21
81,999488413906522203,Lala Mhigo (rank Sapling) entrou na fc. Id: 41784299,2022-07-21
82,999448145467560129,Irvison Listof (rank Sapling) saiu da fc. Id: 19649018,2022-07-20
83,999360073186934784,Holoaxay Br (rank Sapling) entrou na fc. Id: 40034251,2022-07-20
84,998799670564356156,Melair Tanaka (rank Sapling) saiu da fc.,2022-07-19
85,998792123539279903,Kyle Tanaka (rank Sapling) saiu da fc.,2022-07-19
86,998661260499497010,Zhao Moore (rank Sapling) saiu da fc.,2022-07-18
87,998608437925662800,Spyfox Bawkosy (rank Sapling) saiu da fc.,2022-07-18
88,998608437216813066,Myriad Phantom (rank Sapling) saiu da fc.,2022-07-18
89,998608416996069537,Cafe Darktohits (rank Sapling) saiu da fc.,2022-07-18
90,998608416153010196,Bereno Furlanete (rank Sapling) saiu da fc.,2022-07-18
91,998608415263838208,Kyourako Shunsui (rank Sapling) saiu da fc.,2022-07-18
92,998608414353657946,Incitatus Allak (rank Sapling) saiu da fc.,2022-07-18
93,998608413493829704,Mad Eclipsa (rank Lunar Tree) saiu da fc.,2022-07-18
94,998409601831682118,Saraswati Suifeng (rank Sapling) entrou na fc.,2022-07-18
95,998404567639265320,Hanna Wemyss (rank Sapling) entrou na fc.,2022-07-18
96,998321518260002836,Yamato Saito (rank Sapling) entrou na fc.,2022-07-17
97,998316487435620423,Eros Archncher (rank Sapling) entrou na fc.,2022-07-17
98,998316486470930432,Adrena Gyn (rank Sapling) entrou na fc.,2022-07-17
99,998258604400459859,Hanna Wemyss (rank Sapling) saiu da fc.,2022-07-17
