ID,Nome,Nome_Origem,Idioma_Origem,Pais_Origem,Popularidade,Nota_Votos,Contagem_Votos
95,Buffy the Vampire Slayer,Buffy the Vampire Slayer,Inglês,Estados Unidos,74.842,8.2,1254
100,I Am Not an Animal,I Am Not an Animal,Inglês,"Grã-Bretanha (Reino Unido, UK)",11.155,9.2,709
246,Avatar: The Last Airbender,Avatar: The Last Airbender,Inglês,Estados Unidos,60.645,8.7,2811
604,Teen Titans,Teen Titans,Inglês,Estados Unidos,62.585,8.4,925
615,Futurama,Futurama,Inglês,Estados Unidos,148.993,8.4,2285
655,Star Trek: The Next Generation,Star Trek: The Next Generation,Inglês,Estados Unidos,71.283,8.3,1035
888,Spider-Man,Spider-Man,Inglês,Estados Unidos,54.488,8.3,801
890,Neon Genesis Evangelion,新世紀エヴァンゲリオン,Japonês,Japão,56.632,8.6,1068
900,Skins,Skins,Inglês,"Grã-Bretanha (Reino Unido, UK)",65.192,8.2,945
902,Yu-Gi-Oh! Duel Monsters,遊☆戯☆王デュエルモンスターズ,Japonês,Japão,42.643,8.3,687
1044,Planet Earth,Planet Earth,Inglês,"Grã-Bretanha (Reino Unido, UK)",17.182,8.5,802
1100,How I Met Your Mother,How I Met Your Mother,Inglês,Estados Unidos,153.704,8.2,3407
1395,Gossip Girl,Gossip Girl,Inglês,Estados Unidos,100.488,8.4,1612
1396,Breaking Bad,Breaking Bad,Inglês,Estados Unidos,338.302,8.8,8928
1398,The Sopranos,The Sopranos,Inglês,Estados Unidos,120.452,8.5,1767
1399,Game of Thrones,Game of Thrones,Inglês,Estados Unidos,568.811,8.4,18132
1400,Seinfeld,Seinfeld,Inglês,Estados Unidos,121.044,8.3,1342
1402,The Walking Dead,The Walking Dead,Inglês,Estados Unidos,632.284,8.1,13209
1405,Dexter,Dexter,Inglês,Estados Unidos,100.037,8.2,3000
1408,House,House,Inglês,Estados Unidos,410.835,8.6,4679
1409,Sons of Anarchy,Sons of Anarchy,Inglês,Estados Unidos,130.905,8.4,2084
1413,American Horror Story,American Horror Story,Inglês,Estados Unidos,299.428,8.1,4472
1416,Grey's Anatomy,Grey's Anatomy,Inglês,Estados Unidos,870.107,8.3,8132
1425,House of Cards,House of Cards,Inglês,Estados Unidos,45.75,8.1,2005
