,genres,production_countries,runtime,title
0,NaN,MULTIPLE COUNTRIES,65.5,2
1,NaN,TH,62.0,1
2,NaN,US,62.0,1
3,action,CN,70.0,1
4,action,ES,71.5,4
5,action,GB,88.0,1
6,action,JP,81.0,1
7,action,KR,69.75,20
8,action,MX,131.0,1
9,action,SE,61.0,1
10,action,TH,66.0,2
11,action,TR,77.0,3
12,action,US,64.5,2
13,action,ZA,89.0,1
14,animation,KR,64.0,1
15,animation,MX,131.0,1
16,comedy,GB,102.0,2
17,comedy,JP,69.0,1
18,comedy,KR,70.6842105263158,38
19,comedy,MX,131.0,1
20,comedy,SE,61.0,1
21,comedy,TW,78.0,2
22,comedy,US,76.75,4
23,crime,AR,62.0,1
24,crime,BR,61.0,1
25,crime,DE,67.0,1
26,crime,ES,68.16666666666667,6
27,crime,GB,85.0,1
28,crime,KR,67.33333333333333,15
29,crime,MULTIPLE COUNTRIES,62.666666666666664,3
30,crime,SE,61.0,1
31,crime,TH,67.0,1
32,crime,TR,86.33333333333333,3
33,crime,TW,83.5,2
34,crime,US,76.9090909090909,11
35,crime,ZA,89.0,1
36,documentation,AR,62.0,1
37,documentation,BR,61.0,1
38,documentation,ES,62.0,2
39,documentation,GB,85.0,1
40,documentation,JP,69.0,1
41,documentation,MULTIPLE COUNTRIES,62.666666666666664,3
42,documentation,MX,178.0,1
43,documentation,US,78.21052631578948,19
44,drama,DE,67.0,1
45,drama,ES,71.42857142857143,7
46,drama,GB,114.5,2
47,drama,IN,118.0,1
48,drama,JP,69.0,2
49,drama,KR,69.93827160493827,81
50,drama,MULTIPLE COUNTRIES,70.5,2
51,drama,MX,131.0,1
52,drama,SE,61.0,1
53,drama,TH,66.0,2
54,drama,TR,87.2,5
55,drama,TW,83.0,11
56,drama,US,77.0625,16
57,drama,ZA,89.0,1
58,european,ES,67.0,1
59,european,GB,141.0,1
60,european,US,63.5,2
61,family,IN,118.0,1
62,family,KR,81.33333333333333,3
63,family,MX,131.0,1
64,family,TW,93.5,2
65,fantasy,GB,88.0,1
66,fantasy,KR,68.42857142857143,21
67,fantasy,MX,131.0,1
68,fantasy,TH,65.0,1
69,fantasy,TW,70.0,1
70,fantasy,US,64.0,1
71,history,AR,62.0,1
72,history,KR,76.5,4
73,history,MX,178.0,1
74,history,US,67.0,3
75,horror,GB,114.5,2
76,horror,KR,70.66666666666667,6
77,horror,TH,65.0,1
78,horror,TW,84.0,1
79,horror,US,75.0,2
80,music,KR,69.0,1
81,music,US,86.0,4
82,reality,KR,73.5,8
83,reality,MULTIPLE COUNTRIES,64.0,1
84,reality,US,73.33333333333333,3
85,romance,ES,68.0,1
86,romance,JP,69.0,1
87,romance,KR,70.04081632653062,49
88,romance,TH,66.0,2
89,romance,TR,90.0,1
90,romance,TW,73.33333333333333,3
91,romance,US,66.0,2
92,scifi,GB,141.0,1
93,scifi,KR,67.33333333333333,15
94,scifi,TR,61.0,1
95,scifi,TW,85.0,2
96,scifi,US,70.66666666666667,3
97,sport,KR,70.0,1
98,sport,MULTIPLE COUNTRIES,65.0,1
99,sport,US,67.0,1
100,thriller,AR,62.0,1
101,thriller,DE,67.0,1
102,thriller,ES,70.66666666666667,6
103,thriller,GB,114.5,2
104,thriller,KR,67.14285714285714,21
105,thriller,SE,61.0,1
106,thriller,TR,70.5,2
107,thriller,US,115.66666666666667,3
108,thriller,ZA,89.0,1
109,war,KR,69.25,4
110,war,TR,80.0,1
111,war,US,69.66666666666667,3
112,western,MULTIPLE COUNTRIES,84.0,1
113,western,US,132.0,2
